station,longitude,latitude,E_rate0,E_err0,E_rate1,E_err1,N_rate0,N_err0,N_rate1,N_err1,X,Y
ALUM,-66.6,-27.32,-0.0,0.31,0.11,0.05,8.19,0.24,9.05,0.04,516.5901695935291,1028.9331308372161
ANTC,-71.53,-37.34,15.11,0.12,-6.02,0.37,11.15,0.13,17.62,0.4,265.7763095353855,-155.5018668105049
AZUL,-59.88,-36.77,-1.53,0.16,-3.1,0.1,11.29,0.13,13.92,0.08,1230.2516005003502,228.64318505637402
BAVE,-70.77,-34.17,15.55,1.56,-4.3,0.2,16.15,1.51,18.5,0.2,203.6552744006398,228.64318505637402
BTON,-71.49,-30.26,18.31,0.1,20.44,0.21,18.76,0.09,20.31,0.2,106.97869508296043,631.4115829733732
CATA,-65.77,-28.47,1.75,0.37,3.19,0.19,11.24,0.29,10.64,0.16,612.6598585409874,937.8854636126257
CMBA,-71.0,-31.19,20.48,0.23,21.9,0.34,17.63,0.22,21.55,0.34,155.94563670696888,537.1699274489588
CMPN,-70.69,-29.03,19.72,0.25,21.02,0.18,15.56,0.21,15.85,0.17,164.5118701174644,823.9204674874477
CNBA,-71.46,-31.4,23.09,0.24,25.65,0.24,18.76,0.22,21.07,0.23,114.10146866430402,511.9642237476337
CONS,-72.41,-35.33,35.56,0.07,15.57,0.28,19.62,0.07,27.11,0.29,123.91900934886517,73.98023355343139
CONZ,-73.03,-36.84,34.42,0.05,26.65,0.39,20.68,0.05,23.24,0.43,125.34994874714796,-103.34012565441981
COPO,-70.34,-27.38,18.92,0.16,19.77,0.2,15.48,0.13,19.07,0.17,149.77014332111872,978.9015425993007
COYQ,-71.89,-45.51,-0.2,0.11,1.24,0.04,9.46,0.13,10.19,0.05,316.0554953476065,-1069.6215583622088
CRZL,-71.41,-29.1,23.89,0.26,24.86,0.37,20.02,0.24,20.73,0.35,101.18056337584031,794.4469965813723
CSLO,-69.3,-31.78,11.86,0.37,11.14,0.19,12.87,0.32,16.37,0.18,321.5439655297846,482.3716136163166
DGF1,-70.66,-33.46,19.97,0.19,9.45,0.41,16.45,0.19,15.33,0.41,205.04470608141375,282.2500946223531
EMAT,-71.66,-31.15,27.81,0.27,30.42,0.28,20.16,0.25,21.97,0.28,92.87014820116012,537.1699274489588
ESQU,-71.32,-42.92,-10.12,0.54,-1.24,0.18,12.46,0.62,12.02,0.21,341.57228412163863,-773.134313626033
